ReservableOptionMarketGroupId,WeekBeforeArrival,actual_incremental,pred_incremental_simulated
Domestic-Obstagoon-Finneon-Static-2024-06-24,26,0.0,0.004111197844701131
Domestic-Obstagoon-Finneon-Static-2024-06-24,25,0.0,0.005356443726181998
Domestic-Obstagoon-Finneon-Static-2024-06-24,24,0.0,0.3903941485925736
Domestic-Obstagoon-Finneon-Static-2024-06-24,23,0.0,0.39331770857058074
Domestic-Obstagoon-Finneon-Static-2024-06-24,22,0.0,0.39885869875730995
Domestic-Obstagoon-Finneon-Static-2024-06-24,21,0.0,0.401194121901667
Domestic-Obstagoon-Finneon-Static-2024-06-24,20,0.0,0.3704154943852552
Domestic-Obstagoon-Finneon-Static-2024-06-24,19,0.0,0.3650658723816343
Domestic-Obstagoon-Finneon-Static-2024-06-24,18,0.0,0.36493812951546545
Domestic-Obstagoon-Finneon-Static-2024-06-24,17,0.0,0.352487657152988
Domestic-Obstagoon-Finneon-Static-2024-06-24,16,0.0,0.3471508891442091
Domestic-Obstagoon-Finneon-Static-2024-06-24,15,0.0,0.33855704852556245
Domestic-Obstagoon-Finneon-Static-2024-06-24,14,0.0,0.32972455579559207
Domestic-Obstagoon-Finneon-Static-2024-06-24,13,0.0,0.3394747705522847
Domestic-Obstagoon-Finneon-Static-2024-06-24,12,0.0,0.32183857627411727
Domestic-Obstagoon-Finneon-Static-2024-06-24,11,0.0,0.3082192488618311
Domestic-Obstagoon-Finneon-Static-2024-06-24,10,0.0,0.30670855579266576
Domestic-Obstagoon-Finneon-Static-2024-06-24,9,0.0,0.30024933362956413
Domestic-Obstagoon-Finneon-Static-2024-06-24,8,0.0,0.2909114864599121
Domestic-Obstagoon-Finneon-Static-2024-06-24,7,0.0,0.24937047816247074
Domestic-Obstagoon-Finneon-Static-2024-06-24,6,0.0,0.2485061794612907
Domestic-Obstagoon-Finneon-Static-2024-06-24,5,0.0,0.24716533158894127
Domestic-Obstagoon-Finneon-Static-2024-06-24,4,0.0,0.26861294964665067
Domestic-Obstagoon-Finneon-Static-2024-06-24,3,0.0,0.3235409805874512
Domestic-Obstagoon-Finneon-Static-2024-06-24,2,0.0,0.2578166548957
Domestic-Obstagoon-Finneon-Static-2024-06-24,1,0.0,0.1649571984132171
Domestic-Obstagoon-Finneon-Static-2024-06-24,0,0.0,0.14545682913949382
